time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0030,0.0,0.0,0.0,0.0,8.03,1.93,0.0
20230101:0130,0.0,0.0,0.0,-3.58,7.57,1.93,0.0
20230101:0230,0.0,17.07,4.8,8.05,7.15,1.86,0.0
20230101:0330,6.56,50.07,25.68,18.67,9.06,1.17,0.0
20230101:0430,147.69,53.91,45.88,27.76,12.47,1.03,0.0
20230101:0530,311.37,72.42,58.23,34.53,15.28,0.83,0.0
20230101:0630,471.14,88.4,64.3,38.06,17.21,0.62,0.0
20230101:0730,595.58,108.09,63.41,37.7,18.09,0.76,0.0
20230101:0830,669.78,120.88,55.5,33.51,18.76,0.69,0.0
20230101:0930,640.77,141.06,41.5,26.24,19.09,0.83,0.0
20230101:1030,507.26,130.11,23.37,16.83,19.05,1.1,0.0
20230101:1130,286.03,77.3,6.39,5.99,18.63,1.17,0.0
20230101:1230,0.0,0.0,0.0,0.0,17.48,1.38,0.0
20230101:1330,0.0,0.0,0.0,0.0,15.89,1.59,0.0
20230101:1430,0.0,0.0,0.0,0.0,14.23,1.72,0.0
20230101:1530,0.0,0.0,0.0,0.0,12.74,1.86,0.0
20230101:1630,0.0,0.0,0.0,0.0,11.51,1.93,0.0
20230101:1730,0.0,0.0,0.0,0.0,10.44,1.86,0.0
20230101:1830,0.0,0.0,0.0,0.0,9.58,1.79,0.0
20230101:1930,0.0,0.0,0.0,0.0,9.9,1.45,0.0
20230101:2030,0.0,0.0,0.0,0.0,9.6,1.45,0.0
20230101:2130,0.0,0.0,0.0,0.0,9.65,1.24,0.0
20230101:2230,0.0,0.0,0.0,0.0,10.34,0.83,0.0
20230101:2330,0.0,0.0,0.0,0.0,10.71,0.76,0.0
20230102:0030,0.0,0.0,0.0,0.0,10.17,0.83,0.0
20230102:0130,0.0,0.0,0.0,-3.62,10.31,0.76,0.0
20230102:0230,0.0,12.07,3.39,8.02,10.38,0.62,0.0
20230102:0330,6.41,35.28,25.29,18.66,10.88,0.34,0.0
20230102:0430,103.44,76.56,39.07,27.77,14.46,0.41,0.0
20230102:0530,242.17,102.9,52.38,34.57,16.21,0.48,0.0
20230102:0630,461.17,93.64,64.1,38.14,16.97,0.14,0.0
20230102:0730,575.62,109.19,62.13,37.8,17.42,0.62,0.0
20230102:0830,649.85,114.94,54.03,33.63,17.94,0.9,0.0
20230102:0930,649.8,133.84,41.58,26.37,18.16,1.24,0.0
20230102:1030,578.84,127.76,24.97,16.96,18.13,1.45,0.0
20230102:1130,375.46,86.31,7.2,6.12,17.65,1.31,0.0
20230102:1230,0.0,0.0,0.0,0.0,16.58,1.17,0.0
20230102:1330,0.0,0.0,0.0,0.0,15.02,1.31,0.0
20230102:1430,0.0,0.0,0.0,0.0,13.46,1.38,0.0
20230102:1530,0.0,0.0,0.0,0.0,11.82,1.45,0.0
20230102:1630,0.0,0.0,0.0,0.0,10.85,1.38,0.0
20230102:1730,0.0,0.0,0.0,0.0,10.06,1.45,0.0
20230102:1830,0.0,0.0,0.0,0.0,9.28,1.52,0.0
20230102:1930,0.0,0.0,0.0,0.0,10.66,0.07,0.0
20230102:2030,0.0,0.0,0.0,0.0,10.23,0.07,0.0
20230102:2130,0.0,0.0,0.0,0.0,9.77,0.21,0.0
20230102:2230,0.0,0.0,0.0,0.0,9.25,0.34,0.0
20230102:2330,0.0,0.0,0.0,0.0,8.72,0.69,0.0
20230103:0030,0.0,0.0,0.0,0.0,7.7,1.03,0.0
20230103:0130,0.0,0.0,0.0,-3.67,6.2,1.38,0.0
20230103:0230,0.0,13.96,3.92,7.99,5.37,1.66,0.0
20230103:0330,6.14,31.24,28.37,18.65,8.06,0.97,0.0
20230103:0430,140.99,54.75,45.35,27.78,12.38,0.97,0.0
20230103:0530,299.85,75.82,57.67,34.62,14.98,1.03,0.0
20230103:0630,338.89,119.01,54.23,38.22,16.35,0.9,0.0
20230103:0730,521.81,125.63,59.63,37.91,16.15,0.9,0.0
20230103:0830,516.45,143.7,48.87,33.76,16.81,1.1,0.0
20230103:0930,591.51,134.21,39.44,26.51,17.12,1.31,0.0
20230103:1030,582.97,128.79,25.32,17.1,17.11,1.59,0.0
20230103:1130,374.44,85.98,7.33,6.26,16.78,1.86,0.0
20230103:1230,0.0,0.0,0.0,-5.52,15.37,2.21,0.0
20230103:1330,0.0,0.0,0.0,0.0,13.31,2.55,0.0
20230103:1430,0.0,0.0,0.0,0.0,12.03,2.62,0.0
20230103:1530,0.0,0.0,0.0,0.0,11.12,2.55,0.0
20230103:1630,0.0,0.0,0.0,0.0,10.36,2.62,0.0
20230103:1730,0.0,0.0,0.0,0.0,9.72,2.62,0.0
20230103:1830,0.0,0.0,0.0,0.0,9.13,2.62,0.0
20230103:1930,0.0,0.0,0.0,0.0,8.38,2.48,0.0
20230103:2030,0.0,0.0,0.0,0.0,7.87,2.48,0.0
20230103:2130,0.0,0.0,0.0,0.0,7.53,2.48,0.0
20230103:2230,0.0,0.0,0.0,0.0,7.11,2.48,0.0
20230103:2330,0.0,0.0,0.0,0.0,6.76,2.48,0.0
20230104:0030,0.0,0.0,0.0,0.0,6.45,2.41,0.0
20230104:0130,0.0,0.0,0.0,-3.7,6.14,2.28,0.0
20230104:0230,0.0,14.01,3.93,7.97,5.76,2.21,0.0
20230104:0330,4.65,30.55,29.07,18.65,7.42,1.86,0.0
20230104:0430,143.71,53.2,46.39,27.81,10.61,2.14,0.0
20230104:0530,308.09,72.94,58.97,34.67,13.27,2.07,0.0
20230104:0630,457.96,97.75,64.89,38.31,15.44,2.07,0.0
20230104:0730,605.26,106.77,64.98,38.03,15.75,1.45,0.0
20230104:0830,693.98,119.16,57.66,33.89,16.69,1.31,0.0
20230104:0930,709.01,128.97,44.23,26.65,17.17,1.38,0.0
20230104:1030,618.81,129.02,26.39,17.24,17.24,1.66,0.0
20230104:1130,398.43,91.96,7.82,6.4,16.85,1.86,0.0
20230104:1230,0.0,0.0,0.0,-5.38,15.23,2.34,0.0
20230104:1330,0.0,0.0,0.0,0.0,13.05,2.62,0.0
20230104:1430,0.0,0.0,0.0,0.0,11.65,2.55,0.0
20230104:1530,0.0,0.0,0.0,0.0,10.63,2.48,0.0
20230104:1630,0.0,0.0,0.0,0.0,9.74,2.34,0.0
20230104:1730,0.0,0.0,0.0,0.0,8.96,2.28,0.0
20230104:1830,0.0,0.0,0.0,0.0,8.2,2.21,0.0
20230104:1930,0.0,0.0,0.0,0.0,7.3,2.0,0.0
20230104:2030,0.0,0.0,0.0,0.0,6.81,2.07,0.0
20230104:2130,0.0,0.0,0.0,0.0,6.49,2.14,0.0
20230104:2230,0.0,0.0,0.0,0.0,6.16,2.14,0.0
20230104:2330,0.0,0.0,0.0,0.0,5.83,2.07,0.0
20230105:0030,0.0,0.0,0.0,0.0,5.53,1.93,0.0
20230105:0130,0.0,0.0,0.0,-3.74,5.48,1.52,0.0
20230105:0230,0.0,17.16,4.82,7.95,5.86,1.66,0.0
20230105:0330,0.14,66.88,14.5,18.65,6.73,1.52,0.0
20230105:0430,32.73,109.0,29.01,27.83,8.19,1.52,0.0
20230105:0530,76.74,147.23,37.77,34.73,10.07,1.45,0.0
20230105:0630,69.91,179.69,39.82,38.4,12.18,1.66,0.0
20230105:0730,332.18,191.91,53.29,38.15,12.11,1.38,0.0
20230105:0830,616.35,148.88,55.65,34.03,13.77,1.38,0.0
20230105:0930,713.91,129.85,44.77,26.8,15.03,1.45,0.0
20230105:1030,628.13,130.18,26.9,17.39,15.62,1.59,0.0
20230105:1130,406.77,94.2,8.11,6.54,15.47,1.59,0.0
20230105:1230,0.0,0.0,0.0,-5.24,14.35,1.66,0.0
20230105:1330,0.0,0.0,0.0,0.0,12.58,1.93,0.0
20230105:1430,0.0,0.0,0.0,0.0,10.98,2.0,0.0
20230105:1530,0.0,0.0,0.0,0.0,9.65,2.0,0.0
20230105:1630,0.0,0.0,0.0,0.0,8.58,2.14,0.0
20230105:1730,0.0,0.0,0.0,0.0,7.67,2.21,0.0
20230105:1830,0.0,0.0,0.0,0.0,7.04,2.28,0.0
20230105:1930,0.0,0.0,0.0,0.0,5.98,2.07,0.0
20230105:2030,0.0,0.0,0.0,0.0,5.49,2.0,0.0
20230105:2130,0.0,0.0,0.0,0.0,4.86,1.93,0.0
20230105:2230,0.0,0.0,0.0,0.0,4.15,1.59,0.0
20230105:2330,0.0,0.0,0.0,0.0,3.6,1.45,0.0
20230106:0030,0.0,0.0,0.0,0.0,3.53,1.03,0.0
20230106:0130,0.0,0.0,0.0,-3.77,3.66,0.76,0.0
20230106:0230,0.0,17.23,4.84,7.94,3.83,0.62,0.0
20230106:0330,0.13,66.01,15.89,18.66,4.55,0.48,0.0
20230106:0430,16.49,109.66,25.63,27.87,6.12,0.34,0.0
20230106:0530,42.6,145.83,33.74,34.8,7.89,0.69,0.0
20230106:0630,42.87,163.92,35.34,38.5,9.99,1.24,0.0
20230106:0730,205.32,216.5,49.28,38.28,10.04,0.97,0.0
20230106:0830,632.58,140.19,56.18,34.18,11.78,1.1,0.0
20230106:0930,674.03,148.67,44.61,26.95,13.18,1.31,0.0
20230106:1030,584.91,142.45,26.77,17.54,13.96,1.66,0.0
20230106:1130,417.33,97.12,8.45,6.69,13.81,1.93,0.0
20230106:1230,0.0,0.0,0.0,-5.1,12.54,1.86,0.0
20230106:1330,0.0,0.0,0.0,0.0,10.79,2.0,0.0
20230106:1430,0.0,0.0,0.0,0.0,9.3,2.0,0.0
20230106:1530,0.0,0.0,0.0,0.0,7.99,2.28,0.0
20230106:1630,0.0,0.0,0.0,0.0,7.02,2.21,0.0
20230106:1730,0.0,0.0,0.0,0.0,6.32,2.14,0.0
20230106:1830,0.0,0.0,0.0,0.0,5.63,2.14,0.0
20230106:1930,0.0,0.0,0.0,0.0,5.02,2.14,0.0
20230106:2030,0.0,0.0,0.0,0.0,4.47,2.0,0.0
20230106:2130,0.0,0.0,0.0,0.0,3.91,1.93,0.0
20230106:2230,0.0,0.0,0.0,0.0,3.37,1.93,0.0
20230106:2330,0.0,0.0,0.0,0.0,3.01,1.93,0.0
20230107:0030,0.0,0.0,0.0,0.0,2.85,1.79,0.0
20230107:0130,0.0,0.0,0.0,-3.79,3.48,1.86,0.0
20230107:0230,0.0,18.65,5.24,7.93,3.87,2.07,0.0
20230107:0330,0.0,46.99,13.2,18.67,4.95,2.07,0.0
20230107:0430,19.43,112.29,26.88,27.91,6.38,2.07,0.0
20230107:0530,99.0,158.25,42.58,34.87,8.13,1.79,0.0
20230107:0630,438.41,107.27,64.91,38.61,10.69,1.79,0.0
20230107:0730,604.49,103.95,65.67,38.42,13.27,2.14,0.0
20230107:0830,694.55,116.96,58.44,34.33,15.07,2.21,0.0
20230107:0930,713.93,126.91,45.13,27.11,16.07,2.34,0.0
20230107:1030,631.1,127.94,27.32,17.69,16.37,2.21,0.0
20230107:1130,412.28,93.94,8.48,6.84,15.93,1.72,0.0
20230107:1230,0.0,0.0,0.0,-4.96,14.59,1.79,0.0
20230107:1330,0.0,0.0,0.0,0.0,12.48,2.34,0.0
20230107:1430,0.0,0.0,0.0,0.0,10.7,2.55,0.0
20230107:1530,0.0,0.0,0.0,0.0,9.54,2.76,0.0
20230107:1630,0.0,0.0,0.0,0.0,8.93,2.83,0.0
20230107:1730,0.0,0.0,0.0,0.0,8.4,2.76,0.0
20230107:1830,0.0,0.0,0.0,0.0,7.8,2.62,0.0
20230107:1930,0.0,0.0,0.0,0.0,6.77,2.34,0.0
20230107:2030,0.0,0.0,0.0,0.0,6.29,2.28,0.0
20230107:2130,0.0,0.0,0.0,0.0,5.9,2.28,0.0
20230107:2230,0.0,0.0,0.0,0.0,5.58,2.34,0.0
20230107:2330,0.0,0.0,0.0,0.0,5.38,2.41,0.0
20230108:0030,0.0,0.0,0.0,0.0,5.28,2.55,0.0
20230108:0130,0.0,0.0,0.0,-3.81,5.28,2.69,0.0
20230108:0230,0.0,13.58,3.82,7.93,5.33,2.76,0.0
20230108:0330,0.0,25.21,7.08,18.69,7.02,2.55,0.0
20230108:0430,135.84,49.81,46.35,27.96,9.97,2.83,0.0
20230108:0530,300.56,68.73,59.08,34.96,12.99,2.76,0.0
20230108:0630,422.19,107.32,63.48,38.73,15.47,2.48,0.0
20230108:0730,590.35,104.42,64.86,38.56,15.26,2.41,0.0
20230108:0830,682.2,115.22,57.83,34.49,16.87,2.41,0.0
20230108:0930,702.1,124.59,44.73,27.27,17.85,2.21,0.0
20230108:1030,619.71,125.31,27.14,17.85,18.28,2.14,0.0
20230108:1130,404.19,91.87,8.54,6.99,17.96,1.79,0.0
20230108:1230,0.0,0.0,0.0,-4.81,16.6,2.0,0.0
20230108:1330,0.0,0.0,0.0,0.0,14.55,2.21,0.0
20230108:1430,0.0,0.0,0.0,0.0,12.85,2.28,0.0
20230108:1530,0.0,0.0,0.0,0.0,11.5,2.28,0.0
20230108:1630,0.0,0.0,0.0,0.0,10.39,2.14,0.0
20230108:1730,0.0,0.0,0.0,0.0,9.47,2.07,0.0
20230108:1830,0.0,0.0,0.0,0.0,8.7,2.07,0.0
20230108:1930,0.0,0.0,0.0,0.0,7.89,1.31,0.0
20230108:2030,0.0,0.0,0.0,0.0,7.06,1.45,0.0
20230108:2130,0.0,0.0,0.0,0.0,6.3,1.45,0.0
20230108:2230,0.0,0.0,0.0,0.0,5.67,1.38,0.0
20230108:2330,0.0,0.0,0.0,0.0,5.25,0.69,0.0
20230109:0030,0.0,0.0,0.0,0.0,4.93,0.62,0.0
20230109:0130,0.0,0.0,0.0,-3.82,5.2,0.9,0.0
20230109:0230,0.0,16.91,4.75,7.93,5.11,0.97,0.0
20230109:0330,0.0,44.77,12.57,18.72,6.21,0.97,0.0
20230109:0430,35.23,112.38,30.92,28.01,8.2,0.9,0.0
20230109:0530,178.97,141.16,51.03,35.04,10.81,0.83,0.0
20230109:0630,371.71,138.22,61.96,38.85,14.19,0.97,0.0
20230109:0730,581.08,112.91,65.27,38.71,15.82,1.24,0.0
20230109:0830,559.44,167.74,55.1,34.65,17.68,1.66,0.0
20230109:0930,421.95,181.28,38.39,27.44,18.56,1.79,0.0
20230109:1030,368.46,139.95,22.92,18.01,18.66,1.52,0.0
20230109:1130,112.46,55.73,6.43,7.14,18.25,1.17,0.0
20230109:1230,0.0,0.0,0.0,-4.66,17.07,1.17,0.0
20230109:1330,0.0,0.0,0.0,0.0,15.45,1.31,0.0
20230109:1430,0.0,0.0,0.0,0.0,14.11,1.52,0.0
20230109:1530,0.0,0.0,0.0,0.0,12.87,1.72,0.0
20230109:1630,0.0,0.0,0.0,0.0,12.02,1.59,0.0
20230109:1730,0.0,0.0,0.0,0.0,11.31,1.31,0.0
20230109:1830,0.0,0.0,0.0,0.0,10.78,1.52,0.0
20230109:1930,0.0,0.0,0.0,0.0,10.14,1.59,0.0
20230109:2030,0.0,0.0,0.0,0.0,9.52,1.93,0.0
20230109:2130,0.0,0.0,0.0,0.0,9.03,2.14,0.0
20230109:2230,0.0,0.0,0.0,0.0,8.59,2.28,0.0
20230109:2330,0.0,0.0,0.0,0.0,8.3,2.14,0.0
20230110:0030,0.0,0.0,0.0,0.0,7.95,2.0,0.0
20230110:0130,0.0,0.0,0.0,-3.83,7.37,2.0,0.0
20230110:0230,0.0,14.29,4.02,7.94,7.08,1.93,0.0
20230110:0330,0.0,34.51,9.69,18.75,8.67,1.66,0.0
20230110:0430,119.3,60.74,44.97,28.08,11.76,1.86,0.0
20230110:0530,284.67,77.9,58.81,35.14,14.82,2.41,0.0
20230110:0630,464.44,82.89,66.37,38.98,17.05,2.48,0.0
20230110:0730,600.74,100.2,66.13,38.87,18.25,2.55,0.0
20230110:0830,689.72,114.59,58.96,34.82,19.49,2.76,0.0
20230110:0930,713.36,124.65,45.85,27.61,20.09,2.97,0.0
20230110:1030,634.9,126.66,28.11,18.18,20.07,3.24,0.0
20230110:1130,418.53,95.71,9.14,7.3,19.28,2.83,0.0
20230110:1230,0.0,0.0,0.0,-4.51,17.06,2.76,0.0
20230110:1330,0.0,0.0,0.0,0.0,14.75,2.69,0.0
20230110:1430,0.0,0.0,0.0,0.0,13.28,2.62,0.0
20230110:1530,0.0,0.0,0.0,0.0,12.13,2.62,0.0
20230110:1630,0.0,0.0,0.0,0.0,11.22,2.62,0.0
20230110:1730,0.0,0.0,0.0,0.0,10.49,2.69,0.0
20230110:1830,0.0,0.0,0.0,0.0,10.04,2.69,0.0
20230110:1930,0.0,0.0,0.0,0.0,9.16,2.48,0.0
20230110:2030,0.0,0.0,0.0,0.0,8.83,2.55,0.0
20230110:2130,0.0,0.0,0.0,0.0,8.58,2.48,0.0
20230110:2230,0.0,0.0,0.0,0.0,8.25,2.28,0.0
20230110:2330,0.0,0.0,0.0,0.0,7.84,2.21,0.0
20230111:0030,0.0,0.0,0.0,0.0,7.69,2.28,0.0
20230111:0130,0.0,0.0,0.0,-3.84,7.8,1.86,0.0
20230111:0230,0.0,17.76,4.99,7.95,7.82,1.38,0.0
20230111:0330,0.0,47.94,13.46,18.79,9.08,1.31,0.0
20230111:0430,9.8,104.18,23.34,28.14,10.25,1.17,0.0
20230111:0530,56.97,140.47,34.91,35.24,11.5,1.1,0.0
20230111:0630,289.94,162.91,57.11,39.12,13.53,1.03,0.0
20230111:0730,463.52,163.57,61.37,39.03,15.24,0.55,0.0
20230111:0830,592.89,151.4,56.29,35.0,17.28,0.83,0.0
20230111:0930,463.3,184.03,40.47,27.78,18.63,1.1,0.0
20230111:1030,497.47,139.64,25.77,18.35,19.05,1.52,0.0
20230111:1130,337.52,91.01,8.65,7.47,18.83,1.86,0.0
20230111:1230,0.0,0.0,0.0,-4.36,17.33,2.34,0.0
20230111:1330,0.0,0.0,0.0,0.0,15.2,2.9,0.0
20230111:1430,0.0,0.0,0.0,0.0,14.13,3.1,0.0
20230111:1530,0.0,0.0,0.0,0.0,13.65,3.17,0.0
20230111:1630,0.0,0.0,0.0,0.0,13.29,3.03,0.0
20230111:1730,0.0,0.0,0.0,0.0,12.94,2.69,0.0
20230111:1830,0.0,0.0,0.0,0.0,12.74,2.76,0.0
20230111:1930,0.0,0.0,0.0,0.0,12.36,3.03,0.0
20230111:2030,0.0,0.0,0.0,0.0,12.04,3.31,0.0
20230111:2130,0.0,0.0,0.0,0.0,11.98,3.45,0.0
20230111:2230,0.0,0.0,0.0,0.0,12.02,3.52,0.0
20230111:2330,0.0,0.0,0.0,0.0,12.16,3.59,0.0
20230112:0030,0.0,0.0,0.0,0.0,12.15,3.59,0.0
20230112:0130,0.0,0.0,0.0,-3.84,12.1,3.52,0.0
20230112:0230,0.0,11.46,3.22,7.97,11.89,3.31,0.0
20230112:0330,0.0,32.36,9.09,18.83,12.55,3.03,0.0
20230112:0430,41.16,79.19,27.02,28.22,14.22,3.45,0.0
20230112:0530,109.8,96.67,34.8,35.35,15.8,3.66,0.0
20230112:0630,317.87,105.9,53.04,39.27,17.18,3.86,0.0
20230112:0730,360.88,108.95,47.17,39.21,19.47,3.86,0.0
20230112:0830,444.02,126.81,45.17,35.18,19.86,3.72,0.0
20230112:0930,266.15,88.91,24.27,27.96,20.38,3.52,0.0
20230112:1030,329.91,99.66,19.55,18.52,19.97,3.03,0.0
20230112:1130,281.31,53.62,6.73,7.63,19.64,2.55,0.0
20230112:1230,0.0,0.0,0.0,-4.2,18.31,2.14,0.0
20230112:1330,0.0,0.0,0.0,0.0,16.94,2.34,0.0
20230112:1430,0.0,0.0,0.0,0.0,15.61,2.62,0.0
20230112:1530,0.0,0.0,0.0,0.0,14.76,2.69,0.0
20230112:1630,0.0,0.0,0.0,0.0,14.09,2.76,0.0
20230112:1730,0.0,0.0,0.0,0.0,13.72,2.83,0.0
20230112:1830,0.0,0.0,0.0,0.0,13.05,2.9,0.0
20230112:1930,0.0,0.0,0.0,0.0,12.57,2.62,0.0
20230112:2030,0.0,0.0,0.0,0.0,11.98,2.62,0.0
20230112:2130,0.0,0.0,0.0,0.0,11.82,2.48,0.0
20230112:2230,0.0,0.0,0.0,0.0,11.84,2.48,0.0
20230112:2330,0.0,0.0,0.0,0.0,11.75,2.69,0.0
20230113:0030,0.0,0.0,0.0,0.0,11.49,2.62,0.0
20230113:0130,0.0,0.0,0.0,-3.83,11.16,2.41,0.0
20230113:0230,0.0,12.05,3.38,8.0,10.87,2.21,0.0
20230113:0330,0.0,30.33,8.52,18.88,11.89,1.93,0.0
20230113:0430,85.57,56.24,36.23,28.3,13.51,2.28,0.0
20230113:0530,152.77,80.21,39.05,35.47,15.7,2.41,0.0
20230113:0630,296.26,106.87,51.08,39.42,16.84,2.34,0.0
20230113:0730,291.71,138.39,45.57,39.38,19.48,2.62,0.0
20230113:0830,367.37,129.16,41.19,35.37,20.19,2.14,0.0
20230113:0930,288.66,124.6,29.21,28.15,20.4,1.52,0.0
20230113:1030,153.97,68.68,13.62,18.7,20.11,0.83,0.0
20230113:1130,59.6,21.22,3.51,7.8,18.35,0.21,0.0
20230113:1230,0.0,0.0,0.0,-4.04,17.54,0.97,0.0
20230113:1330,0.0,0.0,0.0,0.0,16.15,1.86,0.0
20230113:1430,0.0,0.0,0.0,0.0,15.45,2.0,0.0
20230113:1530,0.0,0.0,0.0,0.0,14.5,2.07,0.0
20230113:1630,0.0,0.0,0.0,0.0,13.71,1.79,0.0
20230113:1730,0.0,0.0,0.0,0.0,13.15,1.66,0.0
20230113:1830,0.0,0.0,0.0,0.0,12.6,1.72,0.0
20230113:1930,0.0,0.0,0.0,0.0,12.58,2.07,0.0
20230113:2030,0.0,0.0,0.0,0.0,12.21,2.34,0.0
20230113:2130,0.0,0.0,0.0,0.0,11.86,2.62,0.0
20230113:2230,0.0,0.0,0.0,0.0,11.55,2.9,0.0
20230113:2330,0.0,0.0,0.0,0.0,11.24,3.1,0.0
20230114:0030,0.0,0.0,0.0,0.0,10.94,3.17,0.0
20230114:0130,0.0,0.0,0.0,-3.82,10.81,3.03,0.0
20230114:0230,0.0,16.29,4.57,8.03,10.39,2.97,0.0
20230114:0330,0.0,36.95,10.38,18.93,10.65,2.9,0.0
20230114:0430,115.55,56.73,46.51,28.38,12.01,3.17,0.0
20230114:0530,283.38,71.58,60.07,35.59,14.25,3.38,0.0
20230114:0630,416.3,97.96,64.36,39.58,16.15,3.93,0.0
20230114:0730,548.52,108.8,64.02,39.57,16.81,4.07,0.0
20230114:0830,669.62,126.15,60.12,35.56,17.47,4.14,0.0
20230114:0930,702.19,134.17,47.33,28.34,17.73,4.07,0.0
20230114:1030,651.56,130.64,29.88,18.88,17.63,4.0,0.0
20230114:1130,418.73,99.01,10.07,7.96,17.06,3.79,0.0
20230114:1230,0.0,0.0,0.0,-3.88,15.29,2.9,0.0
20230114:1330,0.0,0.0,0.0,0.0,13.19,2.97,0.0
20230114:1430,0.0,0.0,0.0,0.0,11.89,3.03,0.0
20230114:1530,0.0,0.0,0.0,0.0,10.86,3.03,0.0
20230114:1630,0.0,0.0,0.0,0.0,9.97,3.03,0.0
20230114:1730,0.0,0.0,0.0,0.0,9.25,2.97,0.0
20230114:1830,0.0,0.0,0.0,0.0,8.65,2.97,0.0
20230114:1930,0.0,0.0,0.0,0.0,8.22,2.76,0.0
20230114:2030,0.0,0.0,0.0,0.0,7.64,2.83,0.0
20230114:2130,0.0,0.0,0.0,0.0,7.2,2.97,0.0
20230114:2230,0.0,0.0,0.0,0.0,6.87,3.03,0.0
20230114:2330,0.0,0.0,0.0,0.0,6.59,3.17,0.0
20230115:0030,0.0,0.0,0.0,0.0,6.62,3.17,0.0
20230115:0130,0.0,0.0,0.0,-3.8,6.26,3.03,0.0
20230115:0230,0.0,13.85,3.89,8.06,6.09,2.97,0.0
20230115:0330,0.0,25.76,7.23,19.0,7.69,2.83,0.0
20230115:0430,122.63,48.32,48.35,28.48,10.37,3.38,0.0
20230115:0530,262.07,83.66,58.74,35.72,12.78,3.59,0.0
20230115:0630,437.56,91.3,66.66,39.75,14.59,3.79,0.0
20230115:0730,586.42,108.7,67.9,39.76,15.54,4.07,0.0
20230115:0830,704.76,115.14,61.98,35.76,16.23,3.86,0.0
20230115:0930,736.45,126.28,48.75,28.53,16.56,3.72,0.0
20230115:1030,669.02,130.35,30.65,19.06,16.51,3.66,0.0
20230115:1130,457.03,105.59,10.83,8.14,15.96,3.24,0.0
20230115:1230,0.0,0.0,0.0,-3.72,14.23,2.41,0.0
20230115:1330,0.0,0.0,0.0,0.0,12.28,2.55,0.0
20230115:1430,0.0,0.0,0.0,0.0,10.88,2.55,0.0
20230115:1530,0.0,0.0,0.0,0.0,9.73,2.55,0.0
20230115:1630,0.0,0.0,0.0,0.0,8.74,2.55,0.0
20230115:1730,0.0,0.0,0.0,0.0,7.9,2.55,0.0
20230115:1830,0.0,0.0,0.0,0.0,7.15,2.55,0.0
20230115:1930,0.0,0.0,0.0,0.0,6.37,2.34,0.0
20230115:2030,0.0,0.0,0.0,0.0,5.73,2.34,0.0
20230115:2130,0.0,0.0,0.0,0.0,5.16,2.34,0.0
20230115:2230,0.0,0.0,0.0,0.0,4.61,2.28,0.0
20230115:2330,0.0,0.0,0.0,0.0,4.05,2.14,0.0
20230116:0030,0.0,0.0,0.0,0.0,3.51,2.07,0.0
20230116:0130,0.0,0.0,0.0,-3.78,3.07,2.14,0.0
20230116:0230,0.0,13.62,3.82,8.1,2.78,2.21,0.0
20230116:0330,0.0,25.22,7.08,19.06,5.34,1.59,0.0
20230116:0430,121.5,46.87,48.81,28.58,9.93,1.72,0.0
20230116:0530,291.7,66.51,62.19,35.86,12.79,2.0,0.0
20230116:0630,459.82,84.43,69.16,39.92,14.72,2.41,0.0
20230116:0730,603.76,100.72,69.19,39.96,15.54,2.55,0.0
20230116:0830,703.59,114.39,62.27,35.96,16.27,2.62,0.0
20230116:0930,734.63,125.75,49.01,28.73,16.66,2.83,0.0
20230116:1030,667.17,129.96,30.89,19.25,16.65,3.03,0.0
20230116:1130,456.33,105.65,11.05,8.31,16.14,2.97,0.0
20230116:1230,0.0,0.0,0.0,-3.56,14.39,2.41,0.0
20230116:1330,0.0,0.0,0.0,0.0,12.27,2.62,0.0
20230116:1430,0.0,0.0,0.0,0.0,10.86,2.62,0.0
20230116:1530,0.0,0.0,0.0,0.0,9.74,2.55,0.0
20230116:1630,0.0,0.0,0.0,0.0,8.76,2.55,0.0
20230116:1730,0.0,0.0,0.0,0.0,7.9,2.55,0.0
20230116:1830,0.0,0.0,0.0,0.0,7.14,2.62,0.0
20230116:1930,0.0,0.0,0.0,0.0,6.52,2.48,0.0
20230116:2030,0.0,0.0,0.0,0.0,5.97,2.55,0.0
20230116:2130,0.0,0.0,0.0,0.0,5.52,2.62,0.0
20230116:2230,0.0,0.0,0.0,0.0,5.16,2.62,0.0
20230116:2330,0.0,0.0,0.0,0.0,4.85,2.62,0.0
20230117:0030,0.0,0.0,0.0,0.0,4.53,2.62,0.0
20230117:0130,0.0,0.0,0.0,-3.76,4.2,2.55,0.0
20230117:0230,0.0,13.72,3.85,8.15,3.88,2.48,0.0
20230117:0330,0.0,25.29,7.11,19.13,6.05,1.93,0.0
20230117:0430,119.14,46.53,49.09,28.68,10.0,2.21,0.0
20230117:0530,289.83,66.17,62.55,36.0,12.82,2.48,0.0
20230117:0630,459.5,83.92,69.66,40.1,14.82,2.97,0.0
20230117:0730,604.75,99.7,69.69,40.16,15.86,2.9,0.0
20230117:0830,704.62,113.55,62.72,36.17,16.67,3.03,0.0
20230117:0930,736.58,124.71,49.41,28.93,17.11,3.24,0.0
20230117:1030,671.04,129.13,31.27,19.44,17.08,3.24,0.0
20230117:1130,460.83,105.59,11.32,8.49,16.51,2.9,0.0
20230117:1230,0.0,0.0,0.0,-3.4,14.69,2.41,0.0
20230117:1330,0.0,0.0,0.0,0.0,12.49,2.62,0.0
