time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20231105:1630,0.0,0.0,0.0,0.0,21.17,2.21,0.0
20231105:1730,0.0,0.0,0.0,0.0,20.18,2.14,0.0
20231105:1830,0.0,0.0,0.0,0.0,19.14,1.86,0.0
20231105:1930,0.0,0.0,0.0,0.0,18.77,1.24,0.0
20231105:2030,0.0,0.0,0.0,0.0,18.8,1.03,0.0
20231105:2130,0.0,0.0,0.0,0.0,19.38,0.69,0.0
20231105:2230,0.0,0.0,0.0,0.0,19.1,0.34,0.0
20231105:2330,0.0,0.0,0.0,0.0,18.86,0.34,0.0
20231106:0030,0.0,0.0,0.0,0.0,18.37,0.83,0.0
20231106:0130,0.0,7.74,2.17,4.03,16.7,1.24,0.0
20231106:0230,0.0,24.74,6.95,16.0,16.89,1.1,0.0
20231106:0330,0.0,33.73,9.47,26.95,21.45,0.76,0.0
20231106:0430,130.51,57.97,57.37,36.23,24.92,0.97,0.0
20231106:0530,290.16,78.21,67.99,42.81,27.12,1.17,0.0
20231106:0630,439.15,96.49,71.85,45.47,28.32,1.03,0.0
20231106:0730,558.56,110.94,68.84,43.52,29.03,0.34,0.0
20231106:0830,626.28,122.05,59.16,37.48,29.55,0.28,0.0
20231106:0930,621.49,127.3,43.85,28.55,29.81,0.76,0.0
20231106:1030,512.56,119.52,24.81,17.81,29.78,1.17,0.0
20231106:1130,296.13,71.8,6.37,5.97,29.15,1.03,0.0
20231106:1230,0.0,0.0,0.0,0.0,27.73,1.24,0.0
20231106:1330,0.0,0.0,0.0,0.0,25.48,1.38,0.0
20231106:1430,0.0,0.0,0.0,0.0,23.16,1.52,0.0
20231106:1530,0.0,0.0,0.0,0.0,21.24,1.59,0.0
20231106:1630,0.0,0.0,0.0,0.0,19.79,1.66,0.0
20231106:1730,0.0,0.0,0.0,0.0,18.68,1.59,0.0
20231106:1830,0.0,0.0,0.0,0.0,18.11,1.52,0.0
20231106:1930,0.0,0.0,0.0,0.0,17.48,2.0,0.0
